time,maneuver_type,duration_sec,is_unload,is_stationkeeping,thr_temp_mean,thr_temp_max,thr_temp_min,thr_temp_std,thr_temp_slope,att_err_mean,att_err_max,att_err_std,maneuver_risky
2012-01-01 07:34:00+00:00,UNLOAD_MAN,360.0,1,0,48.21886831901772,55.231707302873076,38.86210595091114,2.2759293857656457,0.14299324357859972,0.10616166150757729,0.2794773342977499,0.07329990547859036,0
2012-01-04 07:22:00+00:00,UNLOAD_MAN,420.0,1,0,42.840063575038016,50.07259417231027,32.856238248388884,0.5414200596514669,0.05580625190314187,0.09088195203486049,0.274124468260439,0.06095888066782596,1
2012-01-05 14:37:00+00:00,UNLOAD_MAN,300.0,1,0,50.00180478322583,60.56452436495633,47.34700228052913,2.595152851755059,-8.639209446692497e-05,0.163561552512845,0.4144870888927392,0.03804155855447618,0
2012-01-05 14:47:00+00:00,EAST_MAN,900.0,0,1,51.76225886556485,60.45528879733139,40.358661519473195,0.47618371732362297,0.02353069670958602,0.12027452037681775,0.29654271327016174,0.08004903836525792,0
2012-01-08 07:07:00+00:00,UNLOAD_MAN,300.0,1,0,39.19585924538465,47.90172837289426,28.898772667708325,1.6919754872219372,0.14901475720772994,0.037262626084291386,0.27727792247296223,0.0687890261195862,0
2012-01-09 18:07:00+00:00,NORTH_MAN,3840.0,0,1,42.79128197255073,47.41561144141122,31.39433414490869,2.5126740171288775,0.09670509810955577,0.10709505635102384,0.3351565440461972,0.03344160024635797,1
2012-01-12 06:51:00+00:00,UNLOAD_MAN,300.0,1,0,47.51136161266914,52.60889138054344,37.760786337169115,1.8413566373737797,0.18166002173546553,0.0,0.21225885655992435,0.04695909838878305,1
2012-01-12 14:22:00+00:00,UNLOAD_MAN,120.0,1,0,45.73502963062567,60.16537010495661,35.77398150419171,1.266907008765229,0.12252564112195184,0.039454108240017875,0.5161007166819137,0.060338335815281606,0
2012-01-12 14:29:00+00:00,EAST_MAN,3000.0,0,1,47.93279536998284,55.39931819411677,38.37063267387762,1.4531314691416646,0.04459797267769146,0.1517752984076499,0.44288788281208513,0.04271473474454757,1
2012-01-13 01:45:00+00:00,UNLOAD_MAN,0.0,1,0,43.58782428970568,49.2635083029706,32.98240732520209,2.51345287316031,0.12934568061695537,0.08763297800231684,0.1794607795316438,0.0433120119230549,1
2012-01-13 01:51:00+00:00,WEST_MAN,2340.0,0,1,51.51759189945131,63.8108893962192,48.97386520682306,1.0392477347256808,0.10168051434557887,0.1661254119749033,0.4031476305938197,0.050734500565289685,0
2012-01-16 06:35:00+00:00,UNLOAD_MAN,420.0,1,0,50.111167741715796,58.95659338776645,46.61434604258034,2.5644955504810087,0.1615386397477639,0.0016553874560976123,0.1224817067901256,0.028684028319252215,1
